name,category,geometry
Unnamed Location,mice,POINT (1.5002227 42.4940499)
Unnamed Location,mice,POINT (1.5003213 42.4940436)
Unnamed Location,mice,POINT (1.500326 42.4940206)
Unnamed Location,mice,POINT (1.5000661 42.493829)
Unnamed Location,mice,POINT (1.4985754 42.4940875)
Unnamed Location,mice,POINT (1.4987369 42.4940924)
Unnamed Location,mice,POINT (1.4985091 42.494081)
Unnamed Location,mice,POINT (1.4984958 42.4941544)
Unnamed Location,mice,POINT (1.4985046 42.4942278)
Unnamed Location,mice,POINT (1.4985312 42.49428)
Unnamed Location,mice,POINT (1.4985666 42.4943061)
Unnamed Location,mice,POINT (1.4986152 42.4943175)
Unnamed Location,mice,POINT (1.4986838 42.4943191)
Unnamed Location,mice,POINT (1.4987502 42.4943045)
Unnamed Location,mice,POINT (1.4987801 42.4940925)
Unnamed Location,mice,POINT (1.4983754 42.493404)
Unnamed Location,mice,POINT (1.4983022 42.493448)
Unnamed Location,mice,POINT (1.4979941 42.4932251)
Unnamed Location,mice,POINT (1.4986423 42.4945948)
Unnamed Location,mice,POINT (1.4985405 42.4949571)
Unnamed Location,mice,POINT (1.4987389 42.4949894)
Unnamed Location,mice,POINT (1.4988353 42.4946623)
Unnamed Location,mice,POINT (1.4982341 42.4944519)
Unnamed Location,mice,POINT (1.4979826 42.4943728)
Unnamed Location,mice,POINT (1.4979139 42.4943753)
Unnamed Location,mice,POINT (1.4975937 42.4944643)
Unnamed Location,mice,POINT (1.4981237 42.4948963)
Unnamed Location,mice,POINT (1.4999641 42.4940716)
Unnamed Location,mice,POINT (1.4962768 42.492199)
Unnamed Location,mice,POINT (1.4958893 42.4918544)
Unnamed Location,mice,POINT (1.4965012 42.4921183)
Unnamed Location,mice,POINT (1.4986846 42.4967448)
Unnamed Location,mice,POINT (1.4987072 42.4967127)
Unnamed Location,mice,POINT (1.4992381 42.4967626)
Unnamed Location,mice,POINT (1.4986847 42.4967503)
Unnamed Location,mice,POINT (1.496063 42.4917385)
Unnamed Location,mice,POINT (1.496321 42.4922316)
Unnamed Location,mice,POINT (1.4981262 42.4948864)
Unnamed Location,mice,POINT (1.4976837 42.4929782)
Unnamed Location,mice,POINT (1.4984355 42.4931672)
Unnamed Location,mice,POINT (1.4980302 42.4928679)
Unnamed Location,mice,POINT (1.4978605 42.4928585)
Unnamed Location,mice,POINT (1.4977604 42.4928374)
Unnamed Location,mice,POINT (1.4976672 42.4928209)
Unnamed Location,mice,POINT (1.4976638 42.492835)
Unnamed Location,mice,POINT (1.4976714 42.4928898)
Unnamed Location,mice,POINT (1.5009185 42.4944707)
Unnamed Location,mice,POINT (1.5008363 42.4948422)
Unnamed Location,mice,POINT (1.5012081 42.4946942)
Unnamed Location,mice,POINT (1.5051591 42.4954113)
Unnamed Location,mice,POINT (1.5045073 42.4952677)
Unnamed Location,mice,POINT (1.5048586 42.4953409)
Unnamed Location,mice,POINT (1.504634 42.495642)
Unnamed Location,mice,POINT (1.5048372 42.4956902)
Unnamed Location,mice,POINT (1.504054 42.4953349)
Unnamed Location,mice,POINT (1.5043276 42.4951767)
Unnamed Location,mice,POINT (1.5053555 42.4953255)
Unnamed Location,mice,POINT (1.505556 42.4954338)
Unnamed Location,mice,POINT (1.5045046 42.4952044)
Unnamed Location,mice,POINT (1.5049957 42.4957896)
Unnamed Location,mice,POINT (1.5047648 42.4957087)
Unnamed Location,mice,POINT (1.5044677 42.4952504)
Unnamed Location,mice,POINT (1.5055319 42.4954833)
Unnamed Location,mice,POINT (1.5046823 42.4953058)
Unnamed Location,mice,POINT (1.5049854 42.495193)
Unnamed Location,mice,POINT (1.5053188 42.495511)
Unnamed Location,mice,POINT (1.5051188 42.4958669)
Unnamed Location,mice,POINT (1.504288 42.4954501)
Unnamed Location,mice,POINT (1.5052794 42.4958161)
Unnamed Location,mice,POINT (1.5057939 42.496123)
Unnamed Location,mice,POINT (1.5061067 42.495838)
Unnamed Location,mice,POINT (1.5009198 42.496827)
Unnamed Location,mice,POINT (1.5033782 42.49542)
Unnamed Location,mice,POINT (1.5038556 42.4959224)
Unnamed Location,mice,POINT (1.5035766 42.4957642)
Unnamed Location,mice,POINT (1.5032414 42.4956178)
Unnamed Location,mice,POINT (1.5014048 42.496167)
Unnamed Location,mice,POINT (1.5014433 42.4960989)
Unnamed Location,mice,POINT (1.5028933 42.496091)
Unnamed Location,mice,POINT (1.5029754 42.4958982)
Unnamed Location,mice,POINT (1.5028195 42.4958648)
Unnamed Location,mice,POINT (1.5030676 42.4958846)
Unnamed Location,mice,POINT (1.5030341 42.4959649)
Unnamed Location,mice,POINT (1.5035555 42.4961059)
Unnamed Location,mice,POINT (1.5022973 42.4957999)
Unnamed Location,mice,POINT (1.5022663 42.495875)
Unnamed Location,mice,POINT (1.5020518 42.4958293)
Unnamed Location,mice,POINT (1.5020385 42.4958652)
Unnamed Location,mice,POINT (1.5022774 42.4959321)
Unnamed Location,mice,POINT (1.5022044 42.496087)
Unnamed Location,mice,POINT (1.5022243 42.4952422)
Unnamed Location,mice,POINT (1.5025229 42.4952846)
Unnamed Location,mice,POINT (1.5027331 42.4953253)
Unnamed Location,mice,POINT (1.5025381 42.4959726)
Unnamed Location,mice,POINT (1.502723 42.4958561)
Unnamed Location,mice,POINT (1.5026517 42.4958533)
Unnamed Location,mice,POINT (1.5026305 42.4959825)
Unnamed Location,mice,POINT (1.5007911 42.4957243)
Unnamed Location,mice,POINT (1.5008816 42.4957271)
Unnamed Location,mice,POINT (1.5008585 42.4960338)
Unnamed Location,mice,POINT (1.5012699 42.4961181)
Unnamed Location,mice,POINT (1.5007913 42.4956594)
Unnamed Location,mice,POINT (1.5018992 42.4952903)
Unnamed Location,mice,POINT (1.5020694 42.4949812)
Unnamed Location,mice,POINT (1.5020669 42.4949231)
Unnamed Location,mice,POINT (1.5019729 42.4948463)
Unnamed Location,mice,POINT (1.5020186 42.4948051)
Unnamed Location,mice,POINT (1.5028419 42.4952023)
Unnamed Location,mice,POINT (1.5031197 42.4953244)
Unnamed Location,mice,POINT (1.5026614 42.4960319)
Unnamed Location,mice,POINT (1.502553 42.4960237)
Unnamed Location,mice,POINT (1.5030984 42.4958168)
Unnamed Location,mice,POINT (1.5036709 42.4961417)
Unnamed Location,mice,POINT (1.5030323 42.4953845)
Unnamed Location,mice,POINT (1.5031385 42.4954139)
Unnamed Location,mice,POINT (1.5033369 42.4954797)
Unnamed Location,mice,POINT (1.5027441 42.4960529)
Unnamed Location,mice,POINT (1.5024129 42.4958232)
Unnamed Location,mice,POINT (1.5024019 42.4958656)
Unnamed Location,mice,POINT (1.5025528 42.4959)
Unnamed Location,mice,POINT (1.5012957 42.4958024)
Unnamed Location,mice,POINT (1.501183 42.4960092)
Unnamed Location,mice,POINT (1.5021859 42.4953079)
Unnamed Location,mice,POINT (1.5040082 42.4963253)
Unnamed Location,mice,POINT (1.5038609 42.4961751)
Unnamed Location,mice,POINT (1.5042342 42.4959761)
Unnamed Location,mice,POINT (1.5039564 42.4962953)
Unnamed Location,mice,POINT (1.5037905 42.4962138)
Unnamed Location,mice,POINT (1.5038739 42.4963924)
Unnamed Location,mice,POINT (1.5043275 42.4960712)
Unnamed Location,mice,POINT (1.5045293 42.4959577)
Unnamed Location,mice,POINT (1.5042373 42.4957767)
Unnamed Location,mice,POINT (1.5042727 42.4957473)
Unnamed Location,mice,POINT (1.5042129 42.4957277)
Unnamed Location,mice,POINT (1.5038878 42.496098)
Unnamed Location,mice,POINT (1.5014026 42.4949126)
Unnamed Location,mice,POINT (1.5010425 42.4947589)
Unnamed Location,mice,POINT (1.5013727 42.4949507)
Unnamed Location,mice,POINT (1.5062197 42.4958986)
Unnamed Location,mice,POINT (1.5058905 42.4961896)
Unnamed Location,mice,POINT (1.5052997 42.4959925)
Unnamed Location,mice,POINT (1.5052297 42.4959658)
Unnamed Location,mice,POINT (1.5052495 42.4959227)
Unnamed Location,mice,POINT (1.5054983 42.4955145)
Unnamed Location,mice,POINT (1.5055426 42.4955405)
Unnamed Location,mice,POINT (1.5055647 42.495556)
Unnamed Location,mice,POINT (1.5060145 42.495922)
Unnamed Location,mice,POINT (1.4990721 42.4969435)
Unnamed Location,mice,POINT (1.5001609 42.4969264)
Unnamed Location,mice,POINT (1.5005524 42.4969278)
Unnamed Location,mice,POINT (1.5003659 42.4969509)
Unnamed Location,mice,POINT (1.5000815 42.4971157)
Unnamed Location,mice,POINT (1.5003252 42.4971715)
Unnamed Location,mice,POINT (1.5005838 42.4971973)
Unnamed Location,mice,POINT (1.4991553 42.4977225)
Unnamed Location,mice,POINT (1.4995308 42.4978807)
Unnamed Location,mice,POINT (1.4996676 42.497681)
Unnamed Location,mice,POINT (1.4994825 42.4976078)
Unnamed Location,mice,POINT (1.4992733 42.4975603)
Unnamed Location,mice,POINT (1.5006853 42.4975428)
Unnamed Location,mice,POINT (1.5006906 42.497445)
Unnamed Location,mice,POINT (1.5004237 42.4971813)
Unnamed Location,mice,POINT (1.5010565 42.4971211)
Unnamed Location,mice,POINT (1.5007887 42.4971878)
Unnamed Location,mice,POINT (1.5017057 42.4991937)
Unnamed Location,mice,POINT (1.5016956 42.4992836)
Unnamed Location,mice,POINT (1.5017565 42.4993762)
Unnamed Location,mice,POINT (1.5021461 42.4994245)
Unnamed Location,mice,POINT (1.5020529 42.4995919)
Unnamed Location,mice,POINT (1.5018228 42.4971765)
Unnamed Location,mice,POINT (1.5014356 42.4969882)
Unnamed Location,mice,POINT (1.5070445 42.5005043)
Unnamed Location,mice,POINT (1.507128 42.5005977)
Unnamed Location,mice,POINT (1.5072947 42.4998843)
Unnamed Location,mice,POINT (1.5071984 42.4999155)
Unnamed Location,mice,POINT (1.5069297 42.5002208)
Unnamed Location,mice,POINT (1.5067918 42.5003837)
Unnamed Location,mice,POINT (1.5071445 42.5005984)
Unnamed Location,mice,POINT (1.5073043 42.5004181)
Unnamed Location,mice,POINT (1.5064945 42.4976562)
Unnamed Location,mice,POINT (1.5030406 42.4979063)
Unnamed Location,mice,POINT (1.5032497 42.4980133)
Unnamed Location,mice,POINT (1.5035587 42.4985153)
Unnamed Location,mice,POINT (1.5036725 42.4983905)
Unnamed Location,mice,POINT (1.5035251 42.4983173)
